id,id_detail_plan_tagih,id_top,id_spk_penawaran,id_penawaran,term_payment,persen_payment,nominal_payment,desc_payment,tgl_plan_tagih,urutan,tanggal_actual_plan_tagih,tagih_mundur,alasan_mundur,file_surat_mundur,file_laporan_progress,macet,sts_invoice,created_by,created_date
, , ,025/STM/MKT-SPK/II/25, ,Penagihan 1,50%,120000000, ,2025-05-05, ,2025-05-05,, , , , , , ,
, , ,025/STM/MKT-SPK/II/25, ,Penagihan 2,50%,120000000, ,2025-05-05, ,2025-05-05,, , , , , , ,
, , ,026/STM/MKT-SPK/II/25, ,Penagihan 1,50%,45400000, ,2025-03-17, ,2025-03-17,, , , , , , ,
, , ,026/STM/MKT-SPK/II/25, ,Penagihan 2,20%,18160000, ,2025-08-04, ,2025-08-04,, , , , , , ,
, , ,026/STM/MKT-SPK/II/25, ,Penagihan 3,30%,27240000, ,2025-03-04, ,2025-03-04,, , , , , , ,
, , ,027/STM/MKT-SPK/II/25, ,Penagihan 1,50%,16350000, ,2025-07-18, ,2025-07-18,, , , , , , ,
, , ,027/STM/MKT-SPK/II/25, ,Penagihan 2,50%,16350000, ,2025-04-10, ,2025-04-10,, , , , , , ,
, , ,028/STM/MKT-SPK/II/25, ,Penagihan 1,30%,26514000, ,2026-02-01, ,,, , , , , , ,
, , ,028/STM/MKT-SPK/II/25, ,Penagihan 2,20%,17676000, ,2026-03-01, ,,, , , , , , ,
, , ,028/STM/MKT-SPK/II/25, ,Penagihan 3,20%,17676000, ,2025-04-10, ,2025-04-10,, , , , , , ,
, , ,028/STM/MKT-SPK/II/25, ,Penagihan 4,20%,17676000, ,2026-07-01, ,,, , , , , , ,
, , ,028/STM/MKT-SPK/II/25, ,Penagihan 5,10%,8838000, ,2025-06-24, ,2025-06-24,, , , , , , ,
, , ,029/STM/MKT-SPK/III/23, ,Penagihan 1,50%,64600000, ,2025-07-04, ,2025-07-04,, , , , , , ,
, , ,029/STM/MKT-SPK/III/23, ,Penagihan 2,50%,64600000, ,2025-12-16, ,2025-12-16,, , , , , , ,
, , ,029/STM/MKT-SPK/III/25, ,Penagihan 1,100%,22000000, ,2026-03-01, ,,, , , , , , ,
, , ,030/STM/MKT-SPK/II/20, ,Penagihan 1,20%,50000000, ,2026-04-01, ,,, , , , , , ,
, , ,030/STM/MKT-SPK/II/20, ,Penagihan 2,20%,50000000, ,2023-08-08, ,2023-08-08,, , , , , , ,
, , ,030/STM/MKT-SPK/II/20, ,Penagihan 3,30%,75000000, ,2025-05-26, ,2025-05-26,, , , , , , ,
, , ,030/STM/MKT-SPK/II/20, ,Penagihan 4,20%,50000000, ,2025-04-24, ,2025-04-24,, , , , , , ,
, , ,030/STM/MKT-SPK/II/20, ,Penagihan 5,10%,25000000, ,2021-01-26, ,2021-01-26,, , , , , , ,
, , ,031/STM/MKT-SPK/III/24, ,Penagihan 1,30%,25995000, ,2026-01-01, ,,, , , , , , ,
, , ,031/STM/MKT-SPK/III/24, ,Penagihan 2,30%,25995000, ,2026-02-01, ,,, , , , , , ,
, , ,031/STM/MKT-SPK/III/24, ,Penagihan 3,30%,25995000, ,2026-03-01, ,,, , , , , , ,
, , ,031/STM/MKT-SPK/III/24, ,Penagihan 4,10%,8665000, ,2026-04-01, ,,, , , , , , ,
, , ,031/STM/MKT-SPK/III/25, ,Penagihan 1,100%,26000000, ,2024-04-29, ,2024-04-29,, , , , , , ,
, , ,032/STM/MKT-SPK/III/23, ,Penagihan 1,50%,24000000, ,2024-07-02, ,2024-07-02,, , , , , , ,
, , ,032/STM/MKT-SPK/III/23, ,Penagihan 2,50%,24000000, ,2024-11-04, ,2024-11-04,, , , , , , ,
, , ,032/STM/MKT-SPK/III/25, ,Penagihan 1,100%,8500000, ,2026-01-14, ,2026-01-14,, , , , , , ,
, , ,033/STM/MKT-SPK/III/25, ,Penagihan 1,100%,18000000, ,2025-03-24, ,2025-03-24,, , , , , , ,
, , ,034/STM/MKT-SPK/III/25, ,Penagihan 1,100%,27000000, ,2023-05-08, ,2023-05-08,, , , , , , ,
, , ,035/STM/MKT-SPK/III/25, ,Penagihan 1,100%,8500000, ,2026-03-01, ,,, , , , , , ,
, , ,036/STM/MKT-SPK/III/25, ,Penagihan 1,100%,16500000, ,2025-03-19, ,2025-03-19,, , , , , , ,
, , ,037/STM/MKT-SPK/III/25, ,Penagihan 1,30%,28710000, ,2025-06-18, ,2025-06-18,, , , , , , ,
, , ,037/STM/MKT-SPK/III/25, ,Penagihan 2,20%,19140000, ,2025-04-16, ,2025-04-16,, , , , , , ,
, , ,037/STM/MKT-SPK/III/25, ,Penagihan 3,20%,19140000, ,2025-04-24, ,2025-04-24,, , , , , , ,
, , ,037/STM/MKT-SPK/III/25, ,Penagihan 4,20%,19140000, ,2025-04-21, ,2025-04-21,, , , , , , ,
, , ,037/STM/MKT-SPK/III/25, ,Penagihan 5,10%,9570000, ,2025-04-21, ,2025-04-21,, , , , , , ,
, , ,038/STM/MKT-SPK/III/25, ,Penagihan 1,30%,27000000, ,2025-06-02, ,2025-06-02,, , , , , , ,
, , ,038/STM/MKT-SPK/III/25, ,Penagihan 2,30%,27000000, ,2025-08-11, ,2025-08-11,, , , , , , ,
, , ,038/STM/MKT-SPK/III/25, ,Penagihan 3,40%,36000000, ,2025-11-18, ,2025-11-18,, , , , , , ,
, , ,039/STM/MKT-SPK/III/25, ,Penagihan 1,100%,16000000, ,2026-02-01, ,,, , , , , , ,
, , ,040/STM/MKT-SPK/III/25, ,Penagihan 1,100%,27000000, ,2025-05-05, ,2025-05-05,, , , , , , ,
, , ,041/STM/MKT-SPK/III/25, ,Penagihan 1,100%,16000000, ,2025-09-15, ,2025-09-15,, , , , , , ,
, , ,042/STM/MKT-SPK/III/25, ,Penagihan 1,100%,21000000, ,2025-11-18, ,2025-11-18,, , , , , , ,
, , ,043/STM/MKT-SPK/III/25, ,Penagihan 1,30%,31053000, ,2025-05-21, ,2025-05-21,, , , , , , ,
, , ,043/STM/MKT-SPK/III/25, ,Penagihan 2,20%,20702000, ,2025-05-05, ,2025-05-05,, , , , , , ,
, , ,043/STM/MKT-SPK/III/25, ,Penagihan 3,20%,20702000, ,2025-04-28, ,2025-04-28,, , , , , , ,
, , ,043/STM/MKT-SPK/III/25, ,Penagihan 4,20%,20702000, ,2025-04-28, ,2025-04-28,, , , , , , ,
, , ,043/STM/MKT-SPK/III/25, ,Penagihan 5,10%,10351000, ,2025-06-02, ,2025-06-02,, , , , , , ,
, , ,045/STM/MKT-SPK/III/25, ,Penagihan 1,100%,50350000, ,2025-07-04, ,2025-07-04,, , , , , , ,
, , ,046/STM/MKT-SPK/III/25, ,Penagihan 1,100%,252000000, ,2025-08-04, ,2025-08-04,, , , , , , ,
, , ,046B/STM/MKT-SPK/IV/22, ,Penagihan 1,8%,3000000, ,2025-09-02, ,2025-09-02,, , , , , , ,
, , ,046B/STM/MKT-SPK/IV/22, ,Penagihan 2,8%,3000000, ,2026-01-01, ,,, , , , , , ,
, , ,046B/STM/MKT-SPK/IV/22, ,Penagihan 3,8%,3000000, ,2025-04-17, ,2025-04-17,, , , , , , ,
, , ,046B/STM/MKT-SPK/IV/22, ,Penagihan 4,8%,3000000, ,2025-07-11, ,2025-07-11,, , , , , , ,
, , ,046B/STM/MKT-SPK/IV/22, ,Penagihan 5,8%,3000000, ,2024-02-05, ,2024-02-05,, , , , , , ,
, , ,046B/STM/MKT-SPK/IV/22, ,Penagihan 6,8%,3000000, ,2024-03-12, ,2024-03-12,, , , , , , ,
, , ,046B/STM/MKT-SPK/IV/22, ,Penagihan 7,8%,3000000, ,2024-04-02, ,2024-04-02,, , , , , , ,
, , ,046B/STM/MKT-SPK/IV/22, ,Penagihan 8,8%,3000000, ,2024-05-06, ,2024-05-06,, , , , , , ,
, , ,046B/STM/MKT-SPK/IV/22, ,Penagihan 9,8%,3000000, ,2024-06-03, ,2024-06-03,, , , , , , ,
, , ,046B/STM/MKT-SPK/IV/22, ,Penagihan 10,8%,3000000, ,2024-07-11, ,2024-07-11,, , , , , , ,
, , ,046B/STM/MKT-SPK/IV/22, ,Penagihan 11,8%,3000000, ,2024-08-05, ,2024-08-05,, , , , , , ,
, , ,046B/STM/MKT-SPK/IV/22, ,Penagihan 12,8%,3000000, ,2024-09-04, ,2024-09-04,, , , , , , ,
, , ,047/STM/MKT-SPK/III/25, ,Penagihan 1,100%,16000000, ,2024-10-02, ,2024-10-02,, , , , , , ,
, , ,048/STM/MKT-SPK/IV/25, ,Penagihan 1,100%,26000000, ,2024-11-04, ,2024-11-04,, , , , , , ,
, , ,050/STM/MKT-SPK/IV/25, ,Penagihan 1,100%,12000000, ,2024-12-05, ,2024-12-05,, , , , , , ,
, , ,052/STM/MKT-SPK/V/25, ,Penagihan 1,100%,20000000, ,2025-01-08, ,2025-01-08,, , , , , , ,
, , ,053/STM/MKT-SPK/V/25, ,Penagihan 1,30%,26100000, ,2025-05-05, ,2025-05-05,, , , , , , ,
, , ,053/STM/MKT-SPK/V/25, ,Penagihan 2,20%,17400000, ,2025-06-01, ,2025-06-01,, , , , , , ,
, , ,053/STM/MKT-SPK/V/25, ,Penagihan 3,20%,17400000, ,2025-05-21, ,2025-05-21,, , , , , , ,
, , ,053/STM/MKT-SPK/V/25, ,Penagihan 4,20%,17400000, ,2025-06-02, ,2025-06-02,, , , , , , ,
, , ,053/STM/MKT-SPK/V/25, ,Penagihan 5,10%,8700000, ,2025-05-21, ,2025-05-21,, , , , , , ,
, , ,054/STM/MKT-SPK/V/25, ,Penagihan 1,100%,7000000, ,2025-07-04, ,2025-07-04,, , , , , , ,
, , ,055/STM/MKT-SPK/V/25, ,Penagihan 1,100%,14000000, ,2025-08-11, ,2025-08-11,, , , , , , ,
, , ,056/STM/MKT-SPK/V/25, ,Penagihan 1,100%,7000000, ,2025-09-02, ,2025-09-02,, , , , , , ,
, , ,056/STM/MKT-SPK/VI/24, ,Penagihan 1,40%,60000000, ,2026-02-01, ,,, , , , , , ,
, , ,056/STM/MKT-SPK/VI/24, ,Penagihan 2,30%,45000000, ,2025-05-21, ,2025-05-21,, , , , , , ,
, , ,056/STM/MKT-SPK/VI/24, ,Penagihan 3,30%,45000000, ,2025-05-21, ,2025-05-21,, , , , , , ,
, , ,057/STM/MKT-SPK/VI/24, ,Penagihan 1,40%,60000000, ,2025-05-21, ,2025-05-21,, , , , , , ,
, , ,057/STM/MKT-SPK/VI/24, ,Penagihan 2,30%,45000000, ,2024-07-04, ,2024-07-04,, , , , , , ,
, , ,057/STM/MKT-SPK/VI/24, ,Penagihan 3,30%,45000000, ,2024-07-04, ,2024-07-04,, , , , , , ,
, , ,058/STM/MKT-SPK/V/25, ,Penagihan 1,100%,24000000, ,2025-02-10, ,2025-02-10,, , , , , , ,
, , ,060/STM/MKT-SPK/V/25, ,Penagihan 1,20%,30000000, ,2024-07-04, ,2024-07-04,, , , , , , ,
, , ,060/STM/MKT-SPK/V/25, ,Penagihan 2,80%,120000000, ,2024-07-04, ,2024-07-04,, , , , , , ,
, , ,062/STM/MKT-SPK/V/25, ,Penagihan 1,50%,14000000, ,2025-02-10, ,2025-02-10,, , , , , , ,
, , ,062/STM/MKT-SPK/V/25, ,Penagihan 2,50%,14000000, ,2025-06-18, ,2025-06-18,, , , , , , ,
, , ,066/STM/MKT-SPK/V/25, ,Penagihan 1,100%,17000000, ,2025-06-12, ,2025-06-12,, , , , , , ,
, , ,067/STM/MKT-SPK/V/25, ,Penagihan 1,30%,43605000, ,2026-01-01, ,,, , , , , , ,
, , ,067/STM/MKT-SPK/V/25, ,Penagihan 2,20%,29070000, ,2025-06-16, ,2025-06-16,, , , , , , ,
, , ,067/STM/MKT-SPK/V/25, ,Penagihan 3,20%,29070000, ,2025-07-04, ,2025-07-04,, , , , , , ,
, , ,067/STM/MKT-SPK/V/25, ,Penagihan 4,20%,29070000, ,2025-06-24, ,2025-06-24,, , , , , , ,
, , ,067/STM/MKT-SPK/V/25, ,Penagihan 5,10%,14535000, ,2025-06-16, ,2025-06-16,, , , , , , ,
, , ,069/STM/MKT-SPK/V/25, ,Penagihan 1,100%,12000000, ,2025-09-02, ,2025-09-02,, , , , , , ,
, , ,069D/STM/Mkt-SPK/VII/20, ,Penagihan 1,20%,70000000, ,2025-11-04, ,2025-11-04,, , , , , , ,
, , ,069D/STM/Mkt-SPK/VII/20, ,Penagihan 2,50%,175000000, ,2026-02-01, ,,, , , , , , ,
, , ,069D/STM/Mkt-SPK/VII/20, ,Penagihan 3,20%,70000000, ,2026-03-01, ,,, , , , , , ,
, , ,069D/STM/Mkt-SPK/VII/20, ,Penagihan 4,5%,17500000, ,2025-08-20, ,2025-08-20,, , , , , , ,
, , ,069D/STM/Mkt-SPK/VII/20, ,Penagihan 5,5%,17500000, ,2021-01-05, ,2021-01-05,, , , , , , ,
, , ,070/STM/MKT-SPK/VI/25, ,Penagihan 1,30%,27000000, ,2022-08-25, ,2022-08-25,, , , , , , ,
, , ,070/STM/MKT-SPK/VI/25, ,Penagihan 2,20%,18000000, ,2023-08-24, ,2023-08-24,, , , , , , ,
, , ,070/STM/MKT-SPK/VI/25, ,Penagihan 3,50%,45000000, ,2026-01-01, ,,, , , , , , ,
, , ,075/STM/MKT-SPK/VI/25, ,Penagihan 1,100%,10000000, ,2026-02-01, ,,, , , , , , ,
, , ,081/STM/MKT-SPK/VII/25, ,Penagihan 1,30%,43500000, ,2025-06-24, ,2025-06-24,, , , , , , ,
, , ,081/STM/MKT-SPK/VII/25, ,Penagihan 2,40%,58000000, ,2025-07-17, ,2025-07-17,, , , , , , ,
, , ,081/STM/MKT-SPK/VII/25, ,Penagihan 3,30%,43500000, ,2025-11-21, ,2025-11-21,, , , , , , ,
