id,id_detail_plan_tagih,id_top,id_spk_penawaran,id_penawaran,term_payment,persen_payment,nominal_payment,desc_payment,tgl_plan_tagih,urutan,tanggal_actual_plan_tagih,tagih_mundur,alasan_mundur,file_surat_mundur,file_laporan_progress,macet,sts_invoice,created_by,created_date
, , ,090/STM/MKT-SPK/VII/25, ,Penagihan 1,4%,10000000, ,2025-07-28, ,2025-07-28,, , , , , , ,
, , ,090/STM/MKT-SPK/VII/25, ,Penagihan 2,4%,10000000, ,2025-08-04, ,2025-08-04,, , , , , , ,
, , ,090/STM/MKT-SPK/VII/25, ,Penagihan 3,4%,10000000, ,2025-12-16, ,2025-12-16,, , , , , , ,
, , ,090/STM/MKT-SPK/VII/25, ,Penagihan 4,4%,10000000, ,2026-05-01, ,,, , , , , , ,
, , ,090/STM/MKT-SPK/VII/25, ,Penagihan 5,4%,10000000, ,2025-07-18, ,2025-07-18,, , , , , , ,
, , ,090/STM/MKT-SPK/VII/25, ,Penagihan 6,4%,10000000, ,2025-07-18, ,2025-07-18,, , , , , , ,
, , ,090/STM/MKT-SPK/VII/25, ,Penagihan 7,4%,10000000, ,2025-07-18, ,2025-07-18,, , , , , , ,
, , ,090/STM/MKT-SPK/VII/25, ,Penagihan 8,4%,10000000, ,2025-07-18, ,2025-07-18,, , , , , , ,
, , ,090/STM/MKT-SPK/VII/25, ,Penagihan 9,4%,10000000, ,2025-07-18, ,2025-07-18,, , , , , , ,
, , ,090/STM/MKT-SPK/VII/25, ,Penagihan 10,4%,10000000, ,2025-07-18, ,2025-07-18,, , , , , , ,
, , ,090/STM/MKT-SPK/VII/25, ,Penagihan 11,4%,10000000, ,2025-07-18, ,2025-07-18,, , , , , , ,
, , ,090/STM/MKT-SPK/VII/25, ,Penagihan 12,4%,10000000, ,2025-08-20, ,2025-08-20,, , , , , , ,
, , ,090/STM/MKT-SPK/VII/25, ,Penagihan 13,4%,10000000, ,2025-09-08, ,2025-09-08,, , , , , , ,
, , ,090/STM/MKT-SPK/VII/25, ,Penagihan 14,4%,10000000, ,2025-10-10, ,2025-10-10,, , , , , , ,
, , ,090/STM/MKT-SPK/VII/25, ,Penagihan 15,4%,10000000, ,2025-12-16, ,2025-12-16,, , , , , , ,
, , ,090/STM/MKT-SPK/VII/25, ,Penagihan 16,4%,10000000, ,2025-12-16, ,2025-12-16,, , , , , , ,
, , ,090/STM/MKT-SPK/VII/25, ,Penagihan 17,4%,10000000, ,2026-01-01, ,,, , , , , , ,
, , ,090/STM/MKT-SPK/VII/25, ,Penagihan 18,4%,10000000, ,2026-02-01, ,,, , , , , , ,
, , ,090/STM/MKT-SPK/VII/25, ,Penagihan 19,4%,10000000, ,2026-03-01, ,,, , , , , , ,
, , ,090/STM/MKT-SPK/VII/25, ,Penagihan 20,4%,10000000, ,2026-04-01, ,,, , , , , , ,
, , ,090/STM/MKT-SPK/VII/25, ,Penagihan 21,4%,10000000, ,2026-05-01, ,,, , , , , , ,
, , ,090/STM/MKT-SPK/VII/25, ,Penagihan 22,4%,10000000, ,2026-06-01, ,,, , , , , , ,
, , ,090/STM/MKT-SPK/VII/25, ,Penagihan 23,4%,10000000, ,2026-07-01, ,,, , , , , , ,
, , ,090/STM/MKT-SPK/VII/25, ,Penagihan 24,4%,10000000, ,2026-08-01, ,,, , , , , , ,
, , ,096/STM/MKT-SPK/VIII/24, ,Penagihan 1,20%,23495700, ,2026-09-01, ,,, , , , , , ,
, , ,096/STM/MKT-SPK/VIII/24, ,Penagihan 2,20%,15663800, ,2026-10-01, ,,, , , , , , ,
, , ,096/STM/MKT-SPK/VIII/24, ,Penagihan 3,20%,15663800, ,2026-11-01, ,,, , , , , , ,
, , ,096/STM/MKT-SPK/VIII/24, ,Penagihan 4,20%,15663800, ,2026-12-01, ,,, , , , , , ,
, , ,096/STM/MKT-SPK/VIII/24, ,Penagihan 5,10%,7831900, ,2024-09-06, ,2024-09-06,, , , , , , ,
, , ,096/STM/MKT-SPK/X/21, ,Penagihan 1,50%,26575000, ,2024-11-04, ,2024-11-04,, , , , , , ,
, , ,096/STM/MKT-SPK/X/21, ,Penagihan 2,50%,26575000, ,2025-05-05, ,2025-05-05,, , , , , , ,
, , ,098/STM/MKT-SPK/X/21, ,Penagihan 1,30%,31650000, ,2025-06-02, ,2025-06-02,, , , , , , ,
, , ,098/STM/MKT-SPK/X/21, ,Penagihan 2,20%,21100000, ,2026-04-01, ,,, , , , , , ,
, , ,098/STM/MKT-SPK/X/21, ,Penagihan 3,20%,21100000, ,2022-01-19, ,2022-01-19,, , , , , , ,
, , ,098/STM/MKT-SPK/X/21, ,Penagihan 4,20%,21100000, ,2024-12-05, ,2024-12-05,, , , , , , ,
, , ,098/STM/MKT-SPK/X/21, ,Penagihan 5,10%,10550000, ,2023-09-04, ,2023-09-04,, , , , , , ,
, , ,107/STM/MKT-SPK/VIII/23, ,Penagihan 1,50%,65000000, ,2023-10-04, ,2023-10-04,, , , , , , ,
, , ,107/STM/MKT-SPK/VIII/23, ,Penagihan 2,50%,65000000, ,2023-12-04, ,2023-12-04,, , , , , , ,
, , ,110/STM/MKT-SPK/VIII/23, ,Penagihan 1,25%,20000000, ,2024-03-04, ,2024-03-04,, , , , , , ,
, , ,110/STM/MKT-SPK/VIII/23, ,Penagihan 2,25%,20000000, ,2025-11-04, ,2025-11-04,, , , , , , ,
, , ,110/STM/MKT-SPK/VIII/23, ,Penagihan 3,25%,20000000, ,2024-05-06, ,2024-05-06,, , , , , , ,
, , ,110/STM/MKT-SPK/VIII/23, ,Penagihan 4,25%,20000000, ,2025-12-11, ,2025-12-11,, , , , , , ,
, , ,113/STM/MKT-SPK/VIII/23, ,Penagihan 1,50%,49050000, ,2023-09-18, ,2023-09-18,, , , , , , ,
, , ,113/STM/MKT-SPK/VIII/23, ,Penagihan 2,50%,49050000, ,2024-04-22, ,2024-04-22,, , , , , , ,
, , ,114/STM/MKT-SPK/IX/23, ,Penagihan 1,30%,26100000, ,2024-06-14, ,2024-06-14,, , , , , , ,
, , ,114/STM/MKT-SPK/IX/23, ,Penagihan 2,30%,26100000, ,2025-03-03, ,2025-03-03,, , , , , , ,
, , ,114/STM/MKT-SPK/IX/23, ,Penagihan 3,30%,26100000, ,2023-09-19, ,2023-09-19,, , , , , , ,
, , ,114/STM/MKT-SPK/IX/23, ,Penagihan 4,10%,8700000, ,2026-02-01, ,,, , , , , , ,
, , ,114/STM/MKT-SPK/IX/25, ,Penagihan 1,100%,102550000, ,2023-10-04, ,2023-10-04,, , , , , , ,
, , ,121/STM/MKT-SPK/IX/24, ,Penagihan 1,30%,21900000, ,2024-01-22, ,2024-01-22,, , , , , , ,
, , ,121/STM/MKT-SPK/IX/24, ,Penagihan 2,30%,21900000, ,2026-01-14, ,2026-01-14,, , , , , , ,
, , ,121/STM/MKT-SPK/IX/24, ,Penagihan 3,30%,21900000, ,2026-02-01, ,,, , , , , , ,
, , ,121/STM/MKT-SPK/IX/24, ,Penagihan 4,10%,7300000, ,2025-09-19, ,2025-09-19,, , , , , , ,
, , ,124/STM/MKT-SPK/IX/23, ,Penagihan 1,30%,24000000, ,2024-10-11, ,2024-10-11,, , , , , , ,
, , ,124/STM/MKT-SPK/IX/23, ,Penagihan 2,30%,24000000, ,2025-01-08, ,2025-01-08,, , , , , , ,
, , ,124/STM/MKT-SPK/IX/23, ,Penagihan 3,30%,24000000, ,2025-06-02, ,2025-06-02,, , , , , , ,
, , ,124/STM/MKT-SPK/IX/23, ,Penagihan 4,10%,8000000, ,2026-01-01, ,,, , , , , , ,
, , ,124/STM/MKT-SPK/X/25, ,Penagihan 1,50%,140000000, ,2023-10-18, ,2023-10-18,, , , , , , ,
, , ,124/STM/MKT-SPK/X/25, ,Penagihan 2,50%,140000000, ,2023-11-01, ,2023-11-01,, , , , , , ,
, , ,125/STM/MKT-SPK/X/24, ,Penagihan 1,100%,10000000, ,2024-01-05, ,2024-01-05,, , , , , , ,
, , ,127/STM/MKT-SPK/X/25, ,Penagihan 1,30%,18000000, ,2025-01-08, ,2025-01-08,, , , , , , ,
, , ,127/STM/MKT-SPK/X/25, ,Penagihan 2,25%,15000000, ,2025-12-10, ,2025-12-10,, , , , , , ,
, , ,127/STM/MKT-SPK/X/25, ,Penagihan 3,25%,15000000, ,2025-12-10, ,2025-12-10,, , , , , , ,
, , ,127/STM/MKT-SPK/X/25, ,Penagihan 4,20%,12000000, ,2025-02-18, ,2025-02-18,, , , , , , ,
, , ,128/STM/MKT-SPK/X/24, ,Penagihan 1,40%,59080000, ,2025-11-18, ,2025-11-18,, , , , , , ,
, , ,128/STM/MKT-SPK/X/24, ,Penagihan 2,35%,51695000, ,2025-12-02, ,2025-12-02,, , , , , , ,
, , ,128/STM/MKT-SPK/X/24, ,Penagihan 3,25%,36925000, ,2026-01-05, ,2026-01-05,, , , , , , ,
, , ,131/STM/MKT-SPK/X/24, ,Penagihan 1,100%,16700000, ,2026-02-01, ,,, , , , , , ,
, , ,133/STM/MKT-SPK/X/24, ,Penagihan 1,100%,296540815, ,2024-11-04, ,2024-11-04,, , , , , , ,
, , ,134/STM/MKT-SPK/X/24, ,Penagihan 1,100%,15000000, ,2025-01-08, ,2025-01-08,, , , , , , ,
, , ,135/STM/MKT-SPK/XI/25, ,Penagihan 1,15%,15000000, ,2025-06-10, ,2025-06-10,, , , , , , ,
, , ,135/STM/MKT-SPK/XI/25, ,Penagihan 2,30%,30000000, ,, ,,, , , , , , ,
, , ,135/STM/MKT-SPK/XI/25, ,Penagihan 3,30%,30000000, ,, ,,, , , , , , ,
, , ,135/STM/MKT-SPK/XI/25, ,Penagihan 4,25%,25000000, ,, ,,, , , , , , ,
, , ,136/STM/MKT-SPK/X/24, ,Penagihan 1,30%,60000000, ,, ,,, , , , , , ,
, , ,136/STM/MKT-SPK/X/24, ,Penagihan 2,30%,60000000, ,2024-11-20, ,2024-11-20,, , , , , , ,
, , ,136/STM/MKT-SPK/X/24, ,Penagihan 3,40%,80000000, ,2024-12-10, ,2024-12-10,, , , , , , ,
, , ,137/STM/MKT-SPK/X/24, ,Penagihan 1,100%,6000000, ,2024-11-28, ,2024-11-28,, , , , , , ,
, , ,138/STM/MKT-SPK/X/22, ,Penagihan 1,50%,107500000, ,2025-12-11, ,2025-12-11,, , , , , , ,
, , ,138/STM/MKT-SPK/X/22, ,Penagihan 2,30%,64500000, ,2026-01-05, ,2026-01-05,, , , , , , ,
, , ,138/STM/MKT-SPK/X/22, ,Penagihan 3,20%,43000000, ,2026-02-01, ,,, , , , , , ,
, , ,138/STM/MKT-SPK/X/24, ,Penagihan 1,30%,22000000, ,2026-03-01, ,,, , , , , , ,
, , ,138/STM/MKT-SPK/X/24, ,Penagihan 2,25%,18500000, ,2024-11-05, ,2024-11-05,, , , , , , ,
, , ,138/STM/MKT-SPK/X/24, ,Penagihan 3,25%,18500000, ,2025-06-24, ,2025-06-24,, , , , , , ,
, , ,138/STM/MKT-SPK/X/24, ,Penagihan 4,20%,14800000, ,2025-09-15, ,2025-09-15,, , , , , , ,
, , ,139/STM/MKT-SPK/X/24, ,Penagihan 1,30%,36300000, ,2024-11-01, ,2024-11-01,, , , , , , ,
, , ,139/STM/MKT-SPK/X/24, ,Penagihan 2,20%,24200000, ,2022-10-31, ,2022-10-31,, , , , , , ,
, , ,139/STM/MKT-SPK/X/24, ,Penagihan 3,15%,18150000, ,2024-04-02, ,2024-04-02,, , , , , , ,
, , ,139/STM/MKT-SPK/X/24, ,Penagihan 4,15%,18150000, ,2026-01-01, ,,, , , , , , ,
, , ,139/STM/MKT-SPK/X/24, ,Penagihan 5,20%,24200000, ,2025-01-08, ,2025-01-08,, , , , , , ,
, , ,140/STM/MKT-SPK/X/23, ,Penagihan 1,30%,11400000, ,2025-02-04, ,2025-02-04,, , , , , , ,
, , ,140/STM/MKT-SPK/X/23, ,Penagihan 2,20%,7600000, ,2025-03-04, ,2025-03-04,, , , , , , ,
, , ,140/STM/MKT-SPK/X/23, ,Penagihan 3,20%,7600000, ,2026-02-01, ,,, , , , , , ,
, , ,140/STM/MKT-SPK/X/23, ,Penagihan 4,20%,7600000, ,2025-01-08, ,2025-01-08,, , , , , , ,
, , ,140/STM/MKT-SPK/X/23, ,Penagihan 5,10%,3800000, ,2025-02-04, ,2025-02-04,, , , , , , ,
, , ,140/STM/MKT-SPK/X/24, ,Penagihan 1,100%,19000000, ,2025-03-04, ,2025-03-04,, , , , , , ,
, , ,142/STM/MKT-SPK/XI/24, ,Penagihan 1,30%,25500000, ,2025-04-10, ,2025-04-10,, , , , , , ,
, , ,142/STM/MKT-SPK/XI/24, ,Penagihan 2,30%,25500000, ,2025-11-21, ,2025-11-21,, , , , , , ,
, , ,142/STM/MKT-SPK/XI/24, ,Penagihan 3,30%,25500000, ,2023-11-15, ,2023-11-15,, , , , , , ,
, , ,142/STM/MKT-SPK/XI/24, ,Penagihan 4,10%,8500000, ,2024-01-10, ,2024-01-10,, , , , , , ,
, , ,142/STM/MKT-SPK/XI/25, ,Penagihan 1,20%,167000000, ,2024-02-12, ,2024-02-12,, , , , , , ,
, , ,142/STM/MKT-SPK/XI/25, ,Penagihan 2,20%,167000000, ,2024-03-12, ,2024-03-12,, , , , , , ,
, , ,142/STM/MKT-SPK/XI/25, ,Penagihan 3,20%,167000000, ,2026-01-01, ,,, , , , , , ,
, , ,142/STM/MKT-SPK/XI/25, ,Penagihan 4,40%,334000000, ,2024-11-18, ,2024-11-18,, , , , , , ,
, , ,145/STM/MKT-SPK/XI/24, ,Penagihan 1,40%,3000000, ,2024-11-20, ,2024-11-20,, , , , , , ,
, , ,145/STM/MKT-SPK/XI/24, ,Penagihan 2,30%,2250000, ,2025-01-08, ,2025-01-08,, , , , , , ,
, , ,145/STM/MKT-SPK/XI/24, ,Penagihan 3,30%,2250000, ,2025-05-21, ,2025-05-21,, , , , , , ,
, , ,147/STM/MKT-SPK/XII/25, ,Penagihan 1,30%,25125000, ,2026-02-01, ,,, , , , , , ,
, , ,147/STM/MKT-SPK/XII/25, ,Penagihan 2,25%,20937500, ,2026-01-05, ,2026-01-05,, , , , , , ,
, , ,147/STM/MKT-SPK/XII/25, ,Penagihan 3,25%,20937500, ,2026-02-01, ,,, , , , , , ,
, , ,147/STM/MKT-SPK/XII/25, ,Penagihan 4,20%,16750000, ,2026-03-01, ,,, , , , , , ,
, , ,150/STM/MKT-SPK/XI/24, ,Penagihan 1,100%,16000000, ,2026-04-01, ,,, , , , , , ,
, , ,153/STM/MKT-SPK/XI/24, ,Penagihan 1,100%,45000000, ,2025-01-20, ,2025-01-20,, , , , , , ,
, , ,154/STM/MKT-SPK/XI/24, ,Penagihan 1,100%,30000000, ,2025-01-20, ,2025-01-20,, , , , , , ,
, , ,156/STM/MKT-SPK/XII/24, ,Penagihan 1,30%,28500000, ,2025-01-20, ,2025-01-20,, , , , , , ,
, , ,156/STM/MKT-SPK/XII/24, ,Penagihan 2,25%,23750000, ,2025-12-16, ,2025-12-16,, , , , , , ,
, , ,156/STM/MKT-SPK/XII/24, ,Penagihan 3,25%,23750000, ,2026-01-05, ,2026-01-05,, , , , , , ,
, , ,156/STM/MKT-SPK/XII/24, ,Penagihan 4,20%,19000000, ,2026-02-01, ,,, , , , , , ,
, , ,157/STM/MKT-SPK/XII/22, ,Penagihan 1,30%,25500000, ,2026-03-01, ,,, , , , , , ,
, , ,157/STM/MKT-SPK/XII/22, ,Penagihan 2,20%,17000000, ,2025-02-21, ,2025-02-21,, , , , , , ,
, , ,157/STM/MKT-SPK/XII/22, ,Penagihan 3,20%,17000000, ,2025-04-10, ,2025-04-10,, , , , , , ,
, , ,157/STM/MKT-SPK/XII/22, ,Penagihan 4,20%,17000000, ,2025-01-08, ,2025-01-08,, , , , , , ,
, , ,157/STM/MKT-SPK/XII/22, ,Penagihan 5,10%,8500000, ,2025-01-08, ,2025-01-08,, , , , , , ,
, , ,157/STM/MKT-SPK/XII/24, ,Penagihan 1,30%,85500000, ,2025-02-04, ,2025-02-04,, , , , , , ,
, , ,157/STM/MKT-SPK/XII/24, ,Penagihan 2,30%,85500000, ,2025-11-04, ,2025-11-04,, , , , , , ,
, , ,157/STM/MKT-SPK/XII/24, ,Penagihan 3,40%,114000000, ,2025-12-02, ,2025-12-02,, , , , , , ,
, , ,158/STM/MKT-SPK/XII/24, ,Penagihan 1,30%,16627500, ,2023-02-15, ,2023-02-15,, , , , , , ,
, , ,158/STM/MKT-SPK/XII/24, ,Penagihan 2,20%,11085000, ,2023-03-07, ,2023-03-07,, , , , , , ,
, , ,158/STM/MKT-SPK/XII/24, ,Penagihan 3,20%,11085000, ,2023-05-08, ,2023-05-08,, , , , , , ,
, , ,158/STM/MKT-SPK/XII/24, ,Penagihan 4,20%,11085000, ,2023-06-05, ,2023-06-05,, , , , , , ,
, , ,158/STM/MKT-SPK/XII/24, ,Penagihan 5,10%,5542500, ,2025-02-04, ,2025-02-04,, , , , , , ,
, , ,159/STM/MKT-SPK/XI/19, ,Penagihan 1,40%,14360000, ,2025-08-26, ,2025-08-26,, , , , , , ,
, , ,159/STM/MKT-SPK/XI/19, ,Penagihan 2,40%,14360000, ,2026-03-01, ,,, , , , , , ,
, , ,159/STM/MKT-SPK/XI/19, ,Penagihan 3,20%,7180000, ,2026-08-01, ,,, , , , , , ,
, , ,159/STM/MKT-SPK/XII/24, ,Penagihan 1,30%,24000000, ,2025-01-20, ,2025-01-20,, , , , , , ,
, , ,159/STM/MKT-SPK/XII/24, ,Penagihan 2,20%,16000000, ,2025-03-04, ,2025-03-04,, , , , , , ,
, , ,159/STM/MKT-SPK/XII/24, ,Penagihan 3,20%,16000000, ,2025-04-10, ,2025-04-10,, , , , , , ,
, , ,159/STM/MKT-SPK/XII/24, ,Penagihan 4,20%,16000000, ,2025-05-05, ,2025-05-05,, , , , , , ,
, , ,159/STM/MKT-SPK/XII/24, ,Penagihan 5,10%,8000000, ,2025-11-04, ,2025-11-04,, , , , , , ,
, , ,160/STM/MKT-SPK/XII/23, ,Penagihan 1,30%,17970000, ,2020-01-02, ,2020-01-02,, , , , , , ,
, , ,160/STM/MKT-SPK/XII/23, ,Penagihan 2,40%,23960000, ,2025-01-08, ,2025-01-08,, , , , , , ,
, , ,160/STM/MKT-SPK/XII/23, ,Penagihan 3,30%,17970000, ,2025-01-08, ,2025-01-08,, , , , , , ,
, , ,160/STM/MKT-SPK/XII/24, ,Penagihan 1,52%,150000000, ,2025-01-08, ,2025-01-08,, , , , , , ,
, , ,160/STM/MKT-SPK/XII/24, ,Penagihan 2,48%,140000000, ,2025-03-04, ,2025-03-04,, , , , , , ,
, , ,161/STM/MKT-SPK/XII/24, ,Penagihan 1,100%,94250000, ,2025-05-05, ,2025-05-05,, , , , , , ,
, , ,162/STM/MKT-SPK/XII/24, ,Penagihan 1,50%,5500000, ,2025-06-02, ,2025-06-02,, , , , , , ,
, , ,162/STM/MKT-SPK/XII/24, ,Penagihan 2,50%,5500000, ,2026-02-01, ,,, , , , , , ,
, , ,163/STM/MKT-SPK/XI/19, ,Penagihan 1,79%,24780750, ,2024-01-05, ,2024-01-05,, , , , , , ,
, , ,163/STM/MKT-SPK/XI/19, ,Penagihan 2,21%,6520500, ,2025-06-02, ,2025-06-02,, , , , , , ,
, , ,163/STM/MKT-SPK/XII/24, ,Penagihan 1,100%,59550000, ,2026-03-01, ,,, , , , , , ,
, , ,164/STM/MKT-SPK/XII/24, ,Penagihan 1,100%,8000000, ,2025-01-22, ,2025-01-22,, , , , , , ,
, , ,165/STM/MKT-SPK/XII/24, ,Penagihan 1,100%,13000000, ,2025-03-06, ,2025-03-06,, , , , , , ,
, , ,166/STM/MKT-SPK/XII/24, ,Penagihan 1,100%,11000000, ,2024-12-05, ,2024-12-05,, , , , , , ,
, , ,167/STM/MKT-SPK/XII/24, ,Penagihan 1,40%,63040000, ,2025-04-03, ,2025-04-03,, , , , , , ,
, , ,167/STM/MKT-SPK/XII/24, ,Penagihan 2,30%,47280000, ,2020-01-02, ,2020-01-02,, , , , , , ,
, , ,167/STM/MKT-SPK/XII/24, ,Penagihan 3,30%,47280000, ,2025-09-15, ,2025-09-15,, , , , , , ,
, , ,168/STM/MKT-SPK/XII/24, ,Penagihan 1,30%,40500000, ,2025-02-09, ,2025-02-09,, , , , , , ,
, , ,168/STM/MKT-SPK/XII/24, ,Penagihan 2,25%,33750000, ,2025-01-20, ,2025-01-20,, , , , , , ,
, , ,168/STM/MKT-SPK/XII/24, ,Penagihan 3,25%,33750000, ,2025-01-08, ,2025-01-08,, , , , , , ,
, , ,168/STM/MKT-SPK/XII/24, ,Penagihan 4,20%,27000000, ,2024-12-11, ,2024-12-11,, , , , , , ,
, , ,169/STM/MKT-SPK/XII/24, ,Penagihan 1,100%,190000000, ,2025-01-08, ,2025-01-08,, , , , , , ,
, , ,170/STM/MKT-SPK/XII/24, ,Penagihan 1,100%,24000000, ,2025-05-12, ,2025-05-12,, , , , , , ,
, , ,171/STM/MKT-SPK/XII/22, ,Penagihan 1,30%,25650000, ,2025-06-20, ,2025-06-20,, , , , , , ,
, , ,171/STM/MKT-SPK/XII/22, ,Penagihan 2,20%,17100000, ,2025-01-08, ,2025-01-08,, , , , , , ,
, , ,171/STM/MKT-SPK/XII/22, ,Penagihan 3,20%,17100000, ,2025-02-04, ,2025-02-04,, , , , , , ,
, , ,171/STM/MKT-SPK/XII/22, ,Penagihan 4,20%,17100000, ,2025-03-04, ,2025-03-04,, , , , , , ,
, , ,171/STM/MKT-SPK/XII/22, ,Penagihan 5,10%,8550000, ,2025-07-28, ,2025-07-28,, , , , , , ,
, , ,171/STM/MKT-SPK/XII/24, ,Penagihan 1,50%,8875000, ,2026-07-01, ,,, , , , , , ,
, , ,171/STM/MKT-SPK/XII/24, ,Penagihan 2,50%,8875000, ,2024-12-27, ,2024-12-27,, , , , , , ,
, , ,172/STM/MKT-SPK/XII/24, ,Penagihan 1,100%,9000000, ,2023-05-08, ,2023-05-08,, , , , , , ,
, , ,174/STM/MKT-SPK/XII/24, ,Penagihan 1,100%,15000000, ,2023-07-04, ,2023-07-04,, , , , , , ,
, , ,176/STM/MKT-SPK/XII/24, ,Penagihan 1,100%,22000000, ,2023-09-13, ,2023-09-13,, , , , , , ,
, , ,177/STM/MKT-SPK/XII/24, ,Penagihan 1,30%,13500000, ,2023-11-01, ,2023-11-01,, , , , , , ,
, , ,177/STM/MKT-SPK/XII/24, ,Penagihan 2,20%,9000000, ,2026-03-01, ,,, , , , , , ,
, , ,177/STM/MKT-SPK/XII/24, ,Penagihan 3,20%,9000000, ,2025-02-04, ,2025-02-04,, , , , , , ,
, , ,177/STM/MKT-SPK/XII/24, ,Penagihan 4,20%,9000000, ,2025-03-19, ,2025-03-19,, , , , , , ,
, , ,177/STM/MKT-SPK/XII/24, ,Penagihan 5,10%,4500000, ,2025-01-20, ,2025-01-20,, , , , , , ,
, , ,111/STM/MKT-SPK/IX/24, ,Penagihan 1,30%,22500000, ,2025-01-24, ,2025-01-24,, , , , , , ,
, , ,111/STM/MKT-SPK/IX/24, ,Penagihan 2,20%,15000000, ,2025-02-04, ,2025-02-04,, , , , , , ,
, , ,111/STM/MKT-SPK/IX/24, ,Penagihan 3,50%,37500000, ,2025-05-12, ,2025-05-12,, , , , , , ,
, , ,022/STM/MKT-SPK/II/24, ,Penagihan 1,50%,27270000, ,2025-06-02, ,2025-06-02,, , , , , , ,
, , ,022/STM/MKT-SPK/II/24, ,Penagihan 2,50%,27270000, ,2025-07-04, ,2025-07-04,, , , , , , ,
, , ,046/STM/MKT-SPK/V/24, ,Penagihan 1,30%,20985000, ,2025-08-11, ,2025-08-11,, , , , , , ,
, , ,046/STM/MKT-SPK/V/24, ,Penagihan 2,20%,13990000, ,2025-11-12, ,2025-11-12,, , , , , , ,
, , ,046/STM/MKT-SPK/V/24, ,Penagihan 3,20%,13990000, ,2025-01-01, ,2025-02-04,, , , , , , ,
, , ,046/STM/MKT-SPK/V/24, ,Penagihan 4,20%,13990000, ,2024-02-01, ,2024-02-05,, , , , , , ,
, , ,046/STM/MKT-SPK/V/24, ,Penagihan 5,10%,6995000, ,2024-04-02, ,2024-04-02,, , , , , , ,
, , ,035/STM/MKT-SPK/III/24, ,Penagihan 1,30%,21750000, ,2024-05-06, ,2024-05-06,, , , , , , ,
, , ,035/STM/MKT-SPK/III/24, ,Penagihan 2,20%,14500000, ,2024-06-01, ,2024-06-03,, , , , , , ,
, , ,035/STM/MKT-SPK/III/24, ,Penagihan 3,20%,14500000, ,2025-05-01, ,2025-05-05,, , , , , , ,
, , ,035/STM/MKT-SPK/III/24, ,Penagihan 4,20%,14500000, ,2025-04-01, ,2025-04-16,, , , , , , ,
, , ,035/STM/MKT-SPK/III/24, ,Penagihan 5,10%,7250000, ,2025-02-01, ,2025-02-10,, , , , , , ,
, , ,033/STM/MKT-SPK/III/24, ,Penagihan 1,50%,32500000, ,2025-02-01, ,2025-02-10,, , , , , , ,
, , ,033/STM/MKT-SPK/III/24, ,Penagihan 2,50%,32500000, ,2025-03-01, ,2025-03-17,, , , , , , ,
